id,name,description,tags,meetingDays,commitmentLevel,room,advisor,keywords,link1,link2,link3
art-club,Art Club,"Art Club is an open studio space where members work on independent drawing, painting, and mixed-media projects, share techniques, and prepare pieces for the school's end-of-year student art show.",Arts & Crafts;Hobby & Special Interest,Thursday,low,2W7,Patricia Yee (Pat@gmail.com),painting;drawing;studio;gallery,,,
brooklyn-techknights-robotics-team,Brooklyn TechKnights Robotics Team,"The Brooklyn TechKnights design, build, and program a competition robot for the FIRST Robotics season, with sub-teams covering mechanical, electrical, programming, and outreach. Members meet across three build rooms to machine parts, wire electronics, and test code before regional events.",STEM;Competition & Team,Wednesday,high,1S12;1S14;2S14,Shaina Doherty,FIRST;robotics;engineering;programming,,,
bths-chess-team,BTHS Chess Team,The chess team practices tactics and openings together and competes in scholastic tournaments against other schools throughout the year. Weekly sessions mix instruction for newer players with rated practice games for the travel roster.,Hobby & Special Interest;Competition & Team,Tuesday,medium,3N8,Mr. Lopez,chess;tournament;USCF;strategy,,,
bths-finance-club,BTHS Finance Club,"Finance Club covers the basics of personal finance, investing, and markets through member-led discussions and guest talks, and runs a simulated portfolio competition among members over the course of the year.",Academic,Monday,medium,2w14,Amos Levy,finance;investing;stock market;economics,,,
bths-soccer-club,BTHS Soccer Club,"Soccer Club is a casual, non-varsity space to play pickup games and drills together twice a month, open to all skill levels and grades who just want to play regularly.",Club Sports,Friday,medium,6W21,Mr. Costa,soccer;pickup;sports;fitness,,,
cooking-baking-and-culture,Cooking Baking and Culture,"Members cook and bake dishes tied to different cultural traditions together every other week, learning about the history behind each recipe as they go. No cooking experience is required to join.",Arts & Crafts;Hobby & Special Interest,Tuesday,low,2E17,Joanna Bueckert-Chan,cooking;baking;culture;recipes,,,
debate-team,Debate Team,"Debate Team members research current events and policy topics, build cases, and compete in practice rounds and weekend tournaments against other schools. An executive board meets separately each month to plan tournament logistics.",Academic;Competition & Team,Tuesday;Thursday,high,2W6;2W8;2W11;2W12,James Bathurst,policy debate;tournament;research;public speaking,,,
diversifying-the-outdoors,Diversifying the Outdoors,"This club plans hikes, park cleanups, and outdoor excursions with the goal of making outdoor recreation more accessible and welcoming to students who don't usually get the chance to try it. No prior hiking or camping experience is needed.",Community Service;Hobby & Special Interest,Wednesday,low,6S8,Kate Cook,hiking;outdoors;environment;access,,,
film-to-taste,Film To Taste,"Film To Taste watches and discusses a different movie each month, from cult classics to recent releases, and occasionally works on short video projects of their own.",Arts & Crafts;Hobby & Special Interest,Tuesday,low,5E20,Willie Ho,film;movies;discussion;video,,,
girls-who-code-club,Girls Who Code Club,"This chapter follows the national Girls Who Code curriculum, building small web and Python projects together in a supportive, beginner-friendly environment with an emphasis on peer mentorship.",STEM;Hobby & Special Interest,Monday,medium,2N2;2N4,Shaina Doherty,coding;python;web development;mentorship,,,
help-the-homeless-bths,Help the Homeless BTHS,"This club organizes monthly volunteer efforts supporting local homeless shelters and outreach organizations, including donation drives and hands-on service days. It's a low-commitment way to get involved in community service.",Community Service,Monday,low,5W8,Arup Mukherjee,community service;shelter;donations;outreach,,,
junior-jazz-band,Junior Jazz Band,"Junior Jazz Band rehearses standard and contemporary jazz charts together and performs at school concerts throughout the year, giving younger musicians a lower-pressure space to build ensemble skills before joining more advanced music groups.",Arts & Crafts,Wednesday,medium,8W18,Deshawn Withers,jazz;band;music;rehearsal,,,
key-club,Key Club,"Key Club organizes and staffs community service projects throughout the school year, from local food and clothing drives to schoolwide fundraisers, and helps members log volunteer hours toward service requirements.",Community Service,Wednesday,medium,2S13,Emile Jean Bapiste,kiwanis;community service;volunteering;hours,,,
model-united-nations,Model United Nations,Delegates research a country's foreign policy and argue its positions in committee debate at conferences against other schools. New members start on general assembly committees before working up to crisis committees as they gain experience.,Academic;Competition & Team,Wednesday,medium,6N8,Mr. Pratt,MUN;diplomacy;debate;conference,,,
national-honor-society,National Honor Society,"NHS recognizes members for scholarship, leadership, service, and character, and coordinates its committees' tutoring, outreach, and fundraising work through a general meeting once a month.",Academic;Community Service,Wednesday,low,Auditorium,"Kaelin/Robinson, Bynum/Ye",honor society;leadership;service;scholarship,https://www.instagram.com/bthsnhs/,,
nta-national-tutoring-association,NTA (National Tutoring Association),"NTA trains student tutors and connects them with peers who need help in specific subjects, running regular tutoring sessions and tracking hours for members working toward service requirements.",Academic;Community Service,Monday,low,4E18,Mr. Shah,tutoring;homework help;mentorship;service hours,,,
science-olympiad,Science Olympiad,"Each member trains for two or three Science Olympiad events, ranging from build events like bridge design to written tests like anatomy and astronomy, with intensive practice leading up to regional and state tournaments.",STEM;Competition & Team,Wednesday;Friday;Saturday,high,3W11;3W12;3W16;3W18;3E2;3E4;3E8;3E10;3E20;3E22;3E24;3C4,Stephanie Doire,science olympiad;build event;regional;state,,,
south-asian-cultural-association,South Asian Cultural Association,"SACA celebrates South Asian culture through discussion meetings, food, music, and dance, and organizes a larger cultural showcase event each year that's open to the whole school community.",Cultural & Religious,Thursday,low,3E19,Areej Hafeez,culture;identity;south asian;showcase,,,
